longitude,latitude,population,median_income,ocean_proximity
-117.81,33.64,811,12.3411,<1H OCEAN
-122.37,37.58,665,4.5486,NEAR OCEAN
-122.1,39.47,512,2.4917,INLAND
-117.69,33.51,505,4.6607,<1H OCEAN
-118.25,34.07,2033,1.9028,<1H OCEAN
-117.1,34.57,1938,3.1917,INLAND
-120.64,35.15,2863,4.849,<1H OCEAN
-122.12,37.44,748,4.875,NEAR BAY
-118.39,34.03,746,3.1415,<1H OCEAN
-123.41,40.07,141,0.8362,INLAND
-117.39,34.07,664,3.0278,INLAND
-116.48,33.79,1711,2.6298,INLAND
-121.63,36.71,3251,3.9818,<1H OCEAN
-118.33,34.1,4123,1.51,<1H OCEAN
-118.49,34.18,1486,4.8984,<1H OCEAN
-122.49,38.22,781,3.5647,NEAR BAY
-118.14,34.13,1505,4.9167,<1H OCEAN
-118.14,33.97,2461,2.0524,<1H OCEAN
-117.13,32.75,698,3,NEAR OCEAN
-118.44,34.28,24,2.875,<1H OCEAN
-118.16,33.97,3208,2.1743,<1H OCEAN
-117.47,34.06,884,2.7574,INLAND
-118.43,34.24,896,4.6827,<1H OCEAN
-120.93,39.9,791,2.0221,INLAND
-120.97,37.61,884,1.871,INLAND
-123.01,38.79,1417,3.2546,<1H OCEAN
-120.6,34.91,384,2.1094,NEAR OCEAN
-122.69,38.44,691,3.8583,<1H OCEAN
-117.33,33.97,1275,1.625,INLAND
-120.38,36.15,1200,2.7461,INLAND
-117.05,32.76,795,3.25,NEAR OCEAN
-118.03,34.1,1512,2.9422,INLAND
-124.14,41.06,421,3.0208,NEAR OCEAN
-118.22,34.14,735,3.7404,<1H OCEAN
-118.31,33.72,1372,4.1451,NEAR OCEAN
-120.71,38.85,884,3.4688,INLAND
-120.98,39.08,2125,3.0403,INLAND
-117.78,34.07,2899,3.9784,INLAND
-118.27,34.06,2188,1.5885,<1H OCEAN
-118.32,34.01,817,3.1548,<1H OCEAN
-122.39,38,23,4.125,NEAR BAY
-117.9,33.66,623,6.6369,<1H OCEAN
-117.24,32.83,949,7.4351,NEAR OCEAN
-121.94,38.27,9879,2.5681,INLAND
-117.15,33.7,2489,3.1319,INLAND
-118.53,34.18,3687,3.1887,<1H OCEAN
-117.99,33.7,1063,4.0345,<1H OCEAN
-122.43,37.77,1438,3.6031,NEAR BAY
-122.21,37.47,1991,2.92,NEAR OCEAN
-119.43,36.55,882,2.75,INLAND
-118.09,34.17,1131,4.3083,INLAND
-121.4,38.49,3960,3.5968,INLAND
-117.04,32.64,1213,4.0298,NEAR OCEAN
-119.69,36.25,970,2.395,INLAND
-119.8,36.74,1343,0.799,INLAND
-118.36,34.13,2216,8.0499,<1H OCEAN
-118.23,34.14,182,2.3958,<1H OCEAN
-117.95,33.81,943,5.118,<1H OCEAN
-119.19,34.28,1665,4.8583,NEAR OCEAN
-121.83,37.34,6047,4.2098,<1H OCEAN
-121.93,38.31,85,4.875,INLAND
-119.7,36.3,693,2.2895,INLAND
-122.22,37.85,2031,5.457,NEAR BAY
-118.36,34.04,993,2.3214,<1H OCEAN
-122.41,37.79,3436,2.5166,NEAR BAY
-122.71,37.9,437,3.115,NEAR OCEAN
-120.65,35.27,1446,2.5129,NEAR OCEAN
-118.36,33.89,371,5.0299,<1H OCEAN
-116.12,33.53,2971,1.654,INLAND
-121,37.66,944,3.2632,INLAND
-122.46,37.74,707,6.2561,NEAR BAY
-121.24,37.94,1857,2.8705,INLAND
-121.49,38.55,1486,5.0359,INLAND
-122.41,37.8,1846,1.9145,NEAR BAY
-118.11,33.83,517,4.4196,<1H OCEAN
-118.18,33.77,852,2.5726,NEAR OCEAN
-118.28,34.03,2195,1.7976,<1H OCEAN
-117.32,34.09,1034,2.3917,INLAND
-117.32,33.23,982,1.6402,NEAR OCEAN
-117.65,33.6,1004,5.133,<1H OCEAN
-120.7,35.55,1834,3.5,<1H OCEAN
-116.89,33.92,1967,2.6643,INLAND
-122.49,37.54,1527,6.3256,NEAR OCEAN
-119.3,38.26,750,2.9509,INLAND
-121.11,38.04,471,2.9241,INLAND
-117.87,33.61,866,7.79,<1H OCEAN
-118.28,34.04,890,1.6089,<1H OCEAN
-117.78,33.69,2529,5.1299,<1H OCEAN
-118.85,35.2,2566,1.9907,INLAND
-121.55,38.51,1088,3.9,INLAND
-118.08,34.11,1494,3.9464,<1H OCEAN
-121.35,38.6,1662,5.0997,INLAND
-122.33,37.58,1534,3.38,NEAR OCEAN
-117.88,33.77,1044,6.9737,<1H OCEAN
-119.84,36.75,774,1.575,INLAND
-118.29,33.96,2794,1.554,<1H OCEAN
-117.87,33.88,1519,3.3036,<1H OCEAN
-118.21,34.65,2313,3.0441,INLAND
-118.11,34.01,1189,2.2042,<1H OCEAN
-122.19,37.75,482,1.9167,NEAR BAY
-118.39,34.21,2729,2.6667,<1H OCEAN
-116.61,33.04,616,3.875,INLAND
-118.15,35.06,569,2.0441,INLAND
-118.49,34.21,746,1.3565,<1H OCEAN
-117.7,33.63,1525,5.2325,<1H OCEAN
-117.29,33.24,1823,3.1875,<1H OCEAN
-121.34,37.96,2010,2.1284,INLAND
-117.01,32.99,1536,8.4284,<1H OCEAN
-117.69,34.07,1970,3.7083,INLAND
-122.07,37.64,2426,4.7083,NEAR BAY
-122.12,37.7,1287,2.9922,NEAR BAY
-120.81,37.53,189,1.875,INLAND
-122.45,37.81,287,3.9028,NEAR BAY
-117.21,32.86,654,5.3693,NEAR OCEAN
-117.79,33.68,1002,8.735,<1H OCEAN
-121.81,37.31,1109,3.1382,<1H OCEAN
-118.17,33.98,585,3.1786,<1H OCEAN
-122.29,37.89,870,3.4732,NEAR BAY
-118.22,33.98,2980,1.6685,<1H OCEAN
-118.3,34.09,3906,2.1927,<1H OCEAN
-118.15,34.2,1018,4.1518,INLAND
-117.23,32.72,972,3.2361,NEAR OCEAN
-117.55,33.87,4976,3.9414,INLAND
-117.69,34.01,2170,2.3,INLAND
-121.91,36.62,657,3.2865,<1H OCEAN
-123.22,40.16,396,2.8472,INLAND
-118.14,34.04,1216,3.3214,<1H OCEAN
-119.74,36.75,1042,2.9545,INLAND
-118.18,34.05,3299,2.8295,<1H OCEAN
-122.13,37.68,1129,4.0588,NEAR BAY
-118.23,34.66,1059,3.6382,INLAND
-118.33,33.9,5546,2.6091,<1H OCEAN
-122.34,37.95,806,3.0694,NEAR BAY
-118.19,34.03,851,3.2639,<1H OCEAN
-118.38,33.87,1008,5.8518,<1H OCEAN
-122.48,37.64,50,12.5,NEAR OCEAN
-122.41,37.79,1711,3.0296,NEAR BAY
-122.22,38.1,1057,3.1204,NEAR BAY
-121.83,37.95,716,2.875,INLAND
-117.71,33.51,1543,6.379,<1H OCEAN
-117.23,33.1,685,7.745,NEAR OCEAN
-121.25,38.67,2407,4.2262,INLAND
-117.8,33.67,1525,6.7962,<1H OCEAN
-122,39.94,464,1.7125,INLAND
-120.3,38.9,113,0.9227,INLAND
-121.91,37.31,1555,2.5804,<1H OCEAN
-117.07,32.69,820,4.069,NEAR OCEAN
-117,32.8,912,3.0189,<1H OCEAN
-121.32,37.67,781,4.3015,INLAND
-119.23,34.44,1434,2.4777,<1H OCEAN
-122.43,37.77,1428,2.3977,NEAR BAY
-122.02,37.31,1248,5.9714,<1H OCEAN
-121.38,36.84,2061,4.1875,INLAND
-117.28,34.12,1653,1.3973,INLAND
-117.08,33.04,1193,6.53,<1H OCEAN
-120.65,38.42,730,2.6078,INLAND
-121.33,38.68,2244,1.9093,INLAND
-117.97,33.75,973,3.75,<1H OCEAN
-121.44,37.75,1199,3.4821,INLAND
-121.51,38.26,429,1.6458,INLAND
-122.29,37.81,290,2.483,NEAR BAY
-122.08,37.65,3069,2.7694,NEAR BAY
-122.49,37.78,1505,3.0877,NEAR BAY
-120.42,38.42,999,2.7344,INLAND
-118.13,34.16,984,4,<1H OCEAN
-117.01,34.9,1404,2.3077,INLAND
-117.24,32.74,918,5.5289,NEAR OCEAN
-118.15,33.84,894,7.6526,<1H OCEAN
-118.01,33.94,969,4.9191,<1H OCEAN
-118.36,33.94,3036,2.3125,<1H OCEAN
-118.19,33.99,1398,2.4516,<1H OCEAN
-121.9,37.31,1014,5.8186,<1H OCEAN
-118.43,34.29,1073,3.6726,<1H OCEAN
-121.08,38.93,1729,2.4278,INLAND
-122.48,38.9,161,2.1964,INLAND
-122.18,37.91,2428,10.9405,NEAR BAY
-121.42,38.6,2194,1.7451,INLAND
-117.17,32.72,572,1.5909,NEAR OCEAN
-117.88,33.7,1464,5.4836,<1H OCEAN
-120.97,37.73,1412,5.7476,INLAND
-121.63,39.15,940,1.5613,INLAND
-120.27,37.12,597,1.7279,INLAND
-121.96,37.43,2205,3.3859,<1H OCEAN
-118.32,34.17,1562,4.0648,<1H OCEAN
-117.95,33.78,2184,3.9536,<1H OCEAN
-121.87,37.3,134,2.7411,<1H OCEAN
-117.23,34.11,995,2.5875,INLAND
-117.96,33.85,1254,4.8438,<1H OCEAN
-122.42,37.79,1761,1.8068,NEAR BAY
-120.08,39.23,251,4.8182,INLAND
-118.25,34.02,356,2.1944,<1H OCEAN
-119.33,36.19,332,1.0714,INLAND
-120.56,35.07,2866,3.3603,<1H OCEAN
-117.1,32.58,1585,2.25,NEAR OCEAN
-118.2,34.13,2032,4.0052,<1H OCEAN
-117.22,32.81,335,3.5078,NEAR OCEAN
-118.41,34,884,2.9338,<1H OCEAN
-119.71,36.81,557,1.7969,INLAND
-118.44,34.06,1763,5.5,<1H OCEAN
-117.97,33.84,549,4.8667,<1H OCEAN
-119.63,36.32,749,2.2333,INLAND
-118.53,34.04,735,9.1078,<1H OCEAN
-117.93,34.07,683,5.3559,<1H OCEAN
-117.31,34.08,1528,1.9375,INLAND
-122.44,37.7,1705,4.9318,NEAR OCEAN
-122.04,37.34,1795,3.16,<1H OCEAN
-121.26,38.65,991,4.6484,INLAND
-118.49,34.19,1809,3.1667,<1H OCEAN
-118.29,34.09,3441,2.0467,<1H OCEAN
-122.04,38.24,1005,1.9954,INLAND
-117.82,33.73,482,4.7039,<1H OCEAN
-117.81,33.74,1908,3.3047,<1H OCEAN
-117.95,33.7,2585,5.343,<1H OCEAN
-123.82,40.12,1221,2.087,<1H OCEAN
-118.36,33.86,583,5.7422,<1H OCEAN
-118.77,34.28,1024,5.1074,<1H OCEAN
-122.29,37.86,815,1.9946,NEAR BAY
-120.18,36.59,613,2.3026,INLAND
-118.02,34.09,1976,2.6917,INLAND
-117.96,33.82,1632,3.707,<1H OCEAN
-120.13,39.06,381,2.875,INLAND
-121.35,38.68,3789,3.5403,INLAND
-121.73,36.9,3074,2.5195,<1H OCEAN
-117.18,34.08,1464,3.2105,INLAND
-122.91,39.18,86,2.0208,INLAND
-119.74,36.65,1257,2.9013,INLAND
-118.34,33.99,1170,2.9643,<1H OCEAN
-118.13,34.2,529,5.6629,INLAND
-117.17,32.83,1591,5.3538,NEAR OCEAN
-118.5,34.2,884,2.2304,<1H OCEAN
-117.97,33.72,1437,5.4286,<1H OCEAN
-118.39,34.08,2665,3.8088,<1H OCEAN
-119.71,36.83,623,1.8061,INLAND
-117.89,33.88,1037,5.7519,<1H OCEAN
-117.19,33.14,1677,2.3267,<1H OCEAN
-114.62,33.62,5,0.536,INLAND
-122.25,37.8,1335,1.3929,NEAR BAY
-118.25,33.97,1057,1.6776,<1H OCEAN
-122.14,37.72,555,2.983,NEAR BAY
-117.97,34.17,2112,4.9968,INLAND
-122.55,38.42,894,4.2891,<1H OCEAN
-118.22,34.52,2298,6.5538,INLAND
-118.23,34.13,407,4.5766,<1H OCEAN
-117.13,32.72,1221,2.4821,NEAR OCEAN
-119.03,35.36,977,3.9097,INLAND
-122.41,37.8,1279,5.4378,NEAR BAY
-122.46,37.72,1093,3.0703,NEAR OCEAN
-118.07,33.93,1453,4.125,<1H OCEAN
-121.82,37.28,1946,5.0709,<1H OCEAN
-121.9,36.58,704,3.1977,NEAR OCEAN
-117.94,34.15,421,4.4821,INLAND
-121.3,38.13,937,5.0528,INLAND
-118.36,34.06,1109,3.25,<1H OCEAN
-118.23,34.14,2061,2.6268,<1H OCEAN
-119.72,34.43,777,2.5694,<1H OCEAN
-121.76,36.75,671,3.8424,<1H OCEAN
-117.09,32.74,2472,2.32,NEAR OCEAN
-118.19,34.04,1613,2.3015,<1H OCEAN
-118.36,33.89,723,5.3169,<1H OCEAN
-118.09,33.96,1407,2.7647,<1H OCEAN
-119.9,37.49,920,3,INLAND
-117.49,33.64,3191,6.8588,<1H OCEAN
-121.36,38.01,451,4.0221,INLAND
-117.35,34.16,1054,2.4444,INLAND
-118.35,33.8,3152,5.9541,<1H OCEAN
-117.2,32.84,1583,4.55,NEAR OCEAN
-118.46,34.32,2917,4.1514,<1H OCEAN
-121.6,37.13,4108,7.5,<1H OCEAN
-118.35,33.98,1518,3.1194,<1H OCEAN
-121.72,38,4460,4.9618,INLAND
-117.99,33.73,1181,3.8365,<1H OCEAN
-121.85,37.33,4241,2.8024,<1H OCEAN
-117.93,33.62,859,4.5658,<1H OCEAN
-120.02,36.8,1050,2.1618,INLAND
-122.38,37.58,671,8.4704,NEAR OCEAN
-117.84,33.74,4715,3.1353,<1H OCEAN
-117.98,33.77,1576,3.6333,<1H OCEAN
-122.59,37.97,1872,4.5625,NEAR OCEAN
-119.35,35.59,1497,3.176,INLAND
-121.24,39.22,399,2.2917,INLAND
-117.96,34.08,2330,3.9741,<1H OCEAN
-117.7,33.64,2380,8.1926,<1H OCEAN
-117.65,34.04,2623,2.5048,INLAND
-121.9,38.02,1037,3.6154,INLAND
-118.07,33.99,1002,3.0577,<1H OCEAN
-118.28,33.99,1861,1.7159,<1H OCEAN
-117.89,33.83,1435,5.6276,<1H OCEAN
-119.35,36.42,1742,2.7969,INLAND
-122.3,37.55,1930,3.9833,NEAR OCEAN
-118.16,34.7,1365,4.8787,INLAND
-122.48,38.48,765,4.6379,INLAND
-119.73,36.52,1466,2.5921,INLAND
-122.25,37.53,1677,7.6864,NEAR BAY
-118.37,34.07,468,3.4286,<1H OCEAN
-118.04,33.85,1162,5.6094,<1H OCEAN
-116.95,32.74,1429,3.9583,<1H OCEAN
-122.58,38.1,5600,4.6463,NEAR BAY
-118.47,34.04,2719,3.5335,<1H OCEAN
-118.25,33.92,747,2,<1H OCEAN
-117.29,34.14,646,4.0481,INLAND
-119.49,37.1,1564,2.3359,INLAND
-122.7,38.45,855,1.125,<1H OCEAN
-121.9,37.44,2594,6.6086,<1H OCEAN
-117.27,34.24,941,2.875,INLAND
-121.27,38.12,1043,2.4949,INLAND
-119.72,34.42,1257,2.6019,NEAR OCEAN
-119.54,36.51,28,4.625,INLAND
-118.41,33.97,849,5.5941,<1H OCEAN
-120.85,37.51,728,1.5531,INLAND
-122.42,37.75,1008,3.3816,NEAR BAY
-118.28,33.98,782,2.2411,<1H OCEAN
-118.27,33.82,763,4.25,<1H OCEAN
-117.01,32.73,1556,2.8646,NEAR OCEAN
-122.25,37.8,1197,3.0149,NEAR BAY
-118.44,33.88,724,6.6494,NEAR OCEAN
-118.35,33.85,551,5.6426,<1H OCEAN
-122.35,37.96,1023,2.0724,NEAR BAY
-118.43,34.16,850,3.4208,<1H OCEAN
-118.3,33.93,1140,3.7969,<1H OCEAN
-121.28,38.53,95,3.1042,INLAND
-117.27,33,1085,5.1523,NEAR OCEAN
-122.41,37.63,602,3,NEAR OCEAN
-117.18,32.76,1297,3.6492,NEAR OCEAN
-118.45,33.99,654,4.5673,<1H OCEAN
-117.07,32.8,820,3.9828,<1H OCEAN
-121.34,38.59,1151,8.05,INLAND
-118.64,34.22,1902,8.4438,<1H OCEAN
-117.94,33.88,770,5.4217,<1H OCEAN
-121.98,37.27,1633,5.2528,<1H OCEAN
-117.02,32.73,3280,4.7952,NEAR OCEAN
-118.09,34.15,749,2.8007,INLAND
-122.52,37.89,1640,3.9531,NEAR BAY
-117.24,34.14,1301,3.016,INLAND
-118.58,34.21,1034,4.7125,<1H OCEAN
-118.02,33.92,1169,3.2222,<1H OCEAN
-117.82,33.82,1181,8.3637,<1H OCEAN
-117.87,33.84,912,4.5,<1H OCEAN
-122.45,38.01,2196,4.3182,NEAR BAY
-117.69,36.13,632,1.7868,INLAND
-118.18,34.03,835,1.1929,<1H OCEAN
-122.44,37.78,481,3.6875,NEAR BAY
-117.99,34.08,954,2.8906,INLAND
-119.63,34.4,1266,6.0069,<1H OCEAN
-122.62,38.24,758,4.0341,<1H OCEAN
-122.33,38.29,1577,5.3351,NEAR BAY
-119.82,36.79,709,2.6522,INLAND
-118.61,34.21,778,3.3534,<1H OCEAN
-122.53,37.87,658,7.9977,NEAR BAY
-118.26,33.91,903,1.9038,<1H OCEAN
-121.92,37.28,1284,4.5833,<1H OCEAN
-120.46,37.29,1940,2.3594,INLAND
-121.97,36.97,1954,2.8036,NEAR OCEAN
-117.16,32.73,906,1.9203,NEAR OCEAN
-118.19,33.78,439,2.8533,NEAR OCEAN
-117.11,32.69,620,2.725,NEAR OCEAN
-117.88,33.82,1382,3.8631,<1H OCEAN
-122.48,37.69,1384,4.2421,NEAR OCEAN
-118.15,34.17,1024,1.0846,<1H OCEAN
-117.7,33.6,877,3.0461,<1H OCEAN
-116.22,33.73,1279,2.1217,INLAND
-119.07,35.34,1667,4.8839,INLAND
-120.71,37.38,1756,2.6923,INLAND
-121.36,37.99,684,4.2589,INLAND
-117.3,33.23,1759,2.765,<1H OCEAN
-118.15,33.94,1003,3.3289,<1H OCEAN
-118.11,34.15,1038,2.6172,<1H OCEAN
-117.1,32.74,1389,2.3641,NEAR OCEAN
-122.67,38.33,4323,3.9518,<1H OCEAN
-118.14,34.06,706,4.7569,<1H OCEAN
-118.27,34,1213,1.3403,<1H OCEAN
-118.31,33.67,611,5.3074,NEAR OCEAN
-122.23,40.57,750,5.1585,INLAND
-117.04,32.58,1883,5.0311,NEAR OCEAN
-118.51,34,679,2.3098,<1H OCEAN
-118.09,33.74,871,4.6369,NEAR OCEAN
-118.93,36.19,951,2.6184,INLAND
-117.22,32.75,384,2.6121,NEAR OCEAN
-122.04,37.62,453,6.396,NEAR BAY
-117.22,34.07,1440,3.2368,INLAND
-117.13,34.24,673,5.2563,INLAND
-117.13,32.7,917,1.875,NEAR OCEAN
-122.44,37.77,1518,3.6186,NEAR BAY
-118.24,33.96,1876,2.1078,<1H OCEAN
-119.08,35.32,5696,5.0012,INLAND
-119.29,34.28,1537,2.3147,NEAR OCEAN
-118.26,34.01,1628,1.5089,<1H OCEAN
-122.14,37.44,1114,6.6756,NEAR BAY
-117.13,32.58,1427,3.1645,NEAR OCEAN
-119.67,36.33,850,2.9375,INLAND
-122.43,37.81,1137,3.7679,NEAR BAY
-121.39,38.63,1661,2.7813,INLAND
-118.36,33.86,802,5.0784,<1H OCEAN
-118.33,33.92,670,3.267,<1H OCEAN
-118.79,34.14,1143,5.8548,NEAR OCEAN
-117.82,34.13,1606,6.1321,INLAND
-114.57,33.57,624,1.925,INLAND
-118.08,34.13,377,8.4546,INLAND
-117.72,34.1,1592,2.4952,INLAND
-118.25,33.91,1125,3.1111,<1H OCEAN
-121.71,38.56,4071,4.2198,INLAND
-122.02,38.02,817,4.8693,NEAR BAY
-122.08,37.39,1050,4.8036,NEAR BAY
-117.16,32.74,982,3.1921,NEAR OCEAN
-118.37,34.24,594,4.1121,<1H OCEAN
-118.31,34,1329,1.9792,<1H OCEAN
-120.48,37.29,3200,1.5635,INLAND
-122.54,37.99,818,7.3521,NEAR BAY
-117.11,32.79,1129,3.3849,NEAR OCEAN
-118.34,34.04,2042,2.5955,<1H OCEAN
-120.44,34.93,1133,2.0995,<1H OCEAN
-118.54,34.23,1318,4.125,<1H OCEAN
-117.05,32.76,2076,3.6625,NEAR OCEAN
-122.04,36.97,1098,5.3972,NEAR OCEAN
-122.53,38.01,1318,5.4781,NEAR BAY
-118.39,34.16,1637,3.2388,<1H OCEAN
-118.2,34.12,1462,3.3326,<1H OCEAN
-122.43,37.64,1861,4.207,NEAR OCEAN
-116.88,34.08,710,3.9028,INLAND
-122.09,37.41,856,2.8203,NEAR BAY
-121.9,37.3,1531,4.537,<1H OCEAN
-122.78,38.44,1569,3.9766,<1H OCEAN
-122.31,38.34,1827,4.5293,NEAR BAY
-117.74,34.02,1904,3.7454,INLAND
-122.01,37.93,1062,7.5898,NEAR BAY
-118.85,34.21,1360,3.4773,<1H OCEAN
-122.37,38.33,764,4.825,NEAR BAY
-118.11,34.07,3072,2.3393,<1H OCEAN
-121.28,38.7,2868,3.7813,INLAND
-118.1,34.08,1977,2.543,<1H OCEAN
-120.07,36.96,549,1.4511,INLAND
-118.37,33.95,1053,2.8438,<1H OCEAN
-122.42,37.8,1830,4.2458,NEAR BAY
-118.7,34.3,1284,6.1383,<1H OCEAN
-117.12,32.57,930,2.6715,NEAR OCEAN
-122.42,37.8,2122,2.5603,NEAR BAY
-119.25,35.78,1346,2.7411,INLAND
-122.66,39.02,943,1.7446,INLAND
-118.45,33.99,573,4.1861,<1H OCEAN
-117.61,34.08,2400,4.7147,INLAND
-117.96,33.93,839,4.7446,<1H OCEAN
-115.73,32.8,206,2.2083,INLAND
-118.12,34.1,1435,4.2344,<1H OCEAN
-117.96,33.65,1549,4.0229,<1H OCEAN
-118.57,34.2,943,5.223,<1H OCEAN
-119.02,35.41,1106,1.97,INLAND
-119.06,35.33,3278,3.8117,INLAND
-122.44,37.77,1374,4.3667,NEAR BAY
-117.15,32.91,889,4.9464,<1H OCEAN
-118.44,34.29,1357,3.1588,<1H OCEAN
-119.8,36.02,171,3.05,INLAND
-119.77,36.78,1994,2.5434,INLAND
-118.28,33.97,2110,1.6027,<1H OCEAN
-118.4,34.05,1518,5.0762,<1H OCEAN
-122.07,37.57,5019,6.5615,NEAR BAY
-121.56,39.08,761,1.4934,INLAND
-121.98,37.54,3386,3.1326,<1H OCEAN
-122.29,38.3,89,1.0096,NEAR BAY
-118.15,33.9,1855,2.809,<1H OCEAN
-122.04,37.34,1260,7.5372,<1H OCEAN
-118.49,34.27,2521,5.5714,<1H OCEAN
-117.12,32.74,978,3.2708,NEAR OCEAN
-118.95,35.38,906,3.5938,INLAND
-122.08,37.4,373,5.9291,NEAR BAY
-118.26,33.88,330,3.0972,<1H OCEAN
-119.76,36.79,1261,3.3281,INLAND
-118.25,33.98,2271,1.7378,<1H OCEAN
-118.98,35.38,1460,1.4786,INLAND
-118.92,35.13,909,1.9236,INLAND
-118.21,33.8,984,4.25,NEAR OCEAN
-118.27,34.15,2287,3.008,<1H OCEAN
-119.96,35.99,1505,2.0976,INLAND
-118,34.15,1540,4.275,INLAND
-122.46,37.71,1436,3.65,NEAR OCEAN
-121.32,38.67,1396,4.0417,INLAND
-118.07,33.96,913,2.6991,<1H OCEAN
-117,32.77,881,5.5,<1H OCEAN
-121.99,37.54,1673,3.9444,<1H OCEAN
-121.19,38.04,290,3.225,INLAND
-118.56,34.21,4126,3.7313,<1H OCEAN
-116.92,32.82,1458,4.0048,<1H OCEAN
-122.2,37.78,1128,2.5401,NEAR BAY
-122.41,37.71,3900,1.2269,NEAR BAY
-122.07,37.64,5436,2.5158,NEAR BAY
-118.23,33.95,2865,0.6831,<1H OCEAN
-118.01,33.76,1249,3.9855,<1H OCEAN
-118.37,33.99,1305,5.1695,<1H OCEAN
-118.27,33.95,1027,2.2946,<1H OCEAN
-121.33,38.65,1496,2.8106,INLAND
-122.18,37.76,447,3.9063,NEAR BAY
-121.97,37.28,1301,5.0385,<1H OCEAN
-117.5,34,1237,4.4063,INLAND
-124.1,40.9,1948,2.7321,NEAR OCEAN
-116.43,33.81,2069,3.5223,INLAND
-120.76,38.47,607,3.5,INLAND
-118.41,34.17,879,4.692,<1H OCEAN
-122.83,38.4,1019,3.1217,<1H OCEAN
-118.46,34.4,10475,4.542,<1H OCEAN
-122.19,37.71,158,5.5461,NEAR BAY
-119.91,37.23,1042,3.625,INLAND
-121.92,37.3,772,4.2762,<1H OCEAN
-117.26,32.95,1947,4.4375,NEAR OCEAN
-119.01,35.37,579,1.2469,INLAND
-117.67,33.49,983,2.1935,<1H OCEAN
-117.81,35.65,598,1.8984,INLAND
-118.42,33.98,236,3.6667,<1H OCEAN
-122.4,37.76,506,4.4375,NEAR BAY
-119.84,36.81,937,7.7062,INLAND
-121.43,37.75,699,3.3611,INLAND
-118.22,34.09,1835,2.48,<1H OCEAN
-117.04,32.55,2511,1.6348,NEAR OCEAN
-117.14,33.15,758,5.0346,<1H OCEAN
-117.94,34.04,1367,3.5592,<1H OCEAN
-117.93,34.57,3569,3.1946,INLAND
-118.37,34.16,1054,3.6375,<1H OCEAN
-117.1,34.21,1145,4.5268,INLAND
-122.42,40.44,495,2.1875,INLAND
-121.47,38.54,1346,1.2679,INLAND
-118.14,34.08,1110,2.3464,<1H OCEAN
-118.39,34.23,3001,3.0083,<1H OCEAN
-121.41,38.69,848,3.6429,INLAND
-123.8,39.44,1019,1.9208,<1H OCEAN
-117.71,33.54,1883,10.4415,<1H OCEAN
-121.5,38.56,1684,1.128,INLAND
-117.24,32.75,1279,2.9896,NEAR OCEAN
-118.26,33.82,4753,3.6477,<1H OCEAN
-117.95,33.71,3285,3.4133,<1H OCEAN
-117.24,32.75,1015,2.79,NEAR OCEAN
-121.35,38.04,3771,3.7206,INLAND
-117.57,33.88,769,2.3036,INLAND
-117.24,32.94,792,5.2648,NEAR OCEAN
-121.63,39.12,804,3.4492,INLAND
-117.9,33.8,1440,4.375,<1H OCEAN
-122.01,38.26,2087,4.5987,INLAND
-118.44,34.17,1085,3.2763,<1H OCEAN
-117.92,33.9,1010,6.3489,<1H OCEAN
-122.64,38.01,678,5.5789,NEAR OCEAN
-119.97,36.44,772,2.1771,INLAND
-117.95,33.79,1625,4.4667,<1H OCEAN
-118.05,33.84,2295,6.983,<1H OCEAN
-121.26,37.95,677,1.725,INLAND
-118.96,37.64,901,4.2381,INLAND
-121.64,39.11,1817,3.3793,INLAND
-117.12,32.76,1339,1.9152,NEAR OCEAN
-116.92,32.86,1472,2.3693,<1H OCEAN
-118.83,34.33,3196,5.4493,<1H OCEAN
-122.39,37.78,1441,4.7105,NEAR BAY
-117.25,32.73,633,4.9125,NEAR OCEAN
-120.84,35.3,781,4.9359,NEAR OCEAN
-117.98,33.7,952,4.4148,<1H OCEAN
-122.24,37.77,481,2.6411,NEAR BAY
-121.36,38.66,1362,2.7955,INLAND
-122.5,37.92,1013,6.1632,NEAR BAY
-120.84,37.48,1960,2.7381,INLAND
-118.31,33.88,686,2.3812,<1H OCEAN
-118.09,34.68,10493,4.0211,INLAND
-119.23,35.77,1416,4.1917,INLAND
-118.32,34.19,613,3.0179,<1H OCEAN
-118.52,34.22,959,5.0282,<1H OCEAN
-118.3,34.1,4865,1.6112,<1H OCEAN
-121.25,36.32,4601,2.9184,<1H OCEAN
-118.15,33.94,992,4.2594,<1H OCEAN
-117.43,34.01,1150,3.0909,INLAND
-122.56,37.9,641,8.634,NEAR BAY
-120.84,37.51,1258,3.8958,INLAND
-118.28,34.06,990,1.1122,<1H OCEAN
-119.17,34.15,3129,2.6098,NEAR OCEAN
-122.04,37.35,696,5.678,<1H OCEAN
-122.28,37.87,828,3.5625,NEAR BAY
-118.06,33.91,4516,4.1387,<1H OCEAN
-118.47,34.15,267,8.2269,<1H OCEAN
-118.48,34.04,724,8.9616,<1H OCEAN
-117.08,32.76,606,3.0833,NEAR OCEAN
-118.71,34.3,699,6.5483,<1H OCEAN
-118.2,34.04,547,1.0333,<1H OCEAN
-122.04,37.88,1230,4.6424,NEAR BAY
-117.76,33.83,1262,6.4415,<1H OCEAN
-117.11,33.74,1966,2.1182,INLAND
-122.22,37.84,1031,7.5,NEAR BAY
-115.37,32.82,1130,3.5735,INLAND
