longitude,latitude,population_range,ocean_proximity,land_value
-122.44,37.77,0-2000,NEAR BAY,591157.8234411111
-117.15,32.91,0-2000,<1H OCEAN,217359.02133333337
-118.44,34.29,0-2000,<1H OCEAN,197044.84533333336
-119.8,36.02,0-2000,INLAND,83273.44
-119.77,36.78,0-2000,INLAND,86443.748
-118.28,33.97,2000-4000,<1H OCEAN,118181.51552380955
-118.4,34.05,0-2000,<1H OCEAN,616308.824331429
-122.07,37.57,4000-6000,NEAR BAY,308595.5884
-121.56,39.08,0-2000,INLAND,69200.99
-121.98,37.54,2000-4000,<1H OCEAN,285453.58
-122.29,38.3,0-2000,NEAR BAY,203072.94
-118.15,33.9,0-2000,<1H OCEAN,209465.13999999996
-122.04,37.34,0-2000,<1H OCEAN,513166.7253333333
-118.49,34.27,2000-4000,<1H OCEAN,316764.4728
-117.12,32.74,0-2000,NEAR OCEAN,196000.55079365073
-118.95,35.38,0-2000,INLAND,105660.15200000002
-122.08,37.4,0-2000,NEAR BAY,360318.8988571428
-118.26,33.88,0-2000,<1H OCEAN,149088.99380952382
-119.76,36.79,0-2000,INLAND,94139.56
-118.25,33.98,2000-4000,<1H OCEAN,130869.13647619048
-118.98,35.38,0-2000,INLAND,62653.14342857141
-118.92,35.13,0-2000,INLAND,98612.03333333333
-118.21,33.8,0-2000,NEAR OCEAN,181391.354
-118.27,34.15,2000-4000,<1H OCEAN,279128.712
-119.96,35.99,0-2000,INLAND,100354.44
-118.0,34.15,0-2000,INLAND,272149.04959999997
-122.46,37.71,0-2000,NEAR OCEAN,281876.42424242425
-121.32,38.67,0-2000,INLAND,145019.24
-118.07,33.96,0-2000,<1H OCEAN,204156.72361904758
-117.0,32.77,0-2000,<1H OCEAN,216891.08666666664
-121.99,37.54,0-2000,<1H OCEAN,284939.0006666666
-121.19,38.04,0-2000,INLAND,224168.44
-118.56,34.21,4000-6000,<1H OCEAN,265101.8733333333
-116.92,32.82,0-2000,<1H OCEAN,199336.944
-122.2,37.78,0-2000,NEAR BAY,193930.8223737374
-122.41,37.71,2000-4000,NEAR BAY,276137.6194285714
-122.07,37.64,4000-6000,NEAR BAY,218246.09666666665
-118.23,33.95,2000-4000,<1H OCEAN,176089.45942857146
-118.01,33.76,0-2000,<1H OCEAN,239636.4302857143
-118.37,33.99,0-2000,<1H OCEAN,485429.04133333336
-118.27,33.95,0-2000,<1H OCEAN,120676.14115451221
-121.33,38.65,0-2000,INLAND,225371.24
-122.18,37.76,0-2000,NEAR BAY,119666.15839826837
-121.97,37.28,0-2000,<1H OCEAN,354007.49666666664
-117.5,34.0,0-2000,INLAND,217709.28
-124.1,40.9,0-2000,NEAR OCEAN,100155.13066666666
-116.43,33.81,2000-4000,INLAND,217276.63159999996
-120.76,38.47,0-2000,INLAND,160628.36
-118.41,34.17,0-2000,<1H OCEAN,445085.553352381
-122.83,38.4,0-2000,<1H OCEAN,251755.96
-118.46,34.4,10000-12000,<1H OCEAN,294585.6839999999
-122.19,37.71,0-2000,NEAR BAY,201240.63333333336
-119.91,37.23,0-2000,INLAND,129572.56
-121.92,37.3,0-2000,<1H OCEAN,414608.52866666665
-117.26,32.95,0-2000,NEAR OCEAN,613403.1628000005
-119.01,35.37,0-2000,INLAND,77788.61000000003
-117.67,33.49,0-2000,<1H OCEAN,273155.5782666666
-117.81,35.65,0-2000,INLAND,111085.4
-118.42,33.98,0-2000,<1H OCEAN,424464.2884
-122.4,37.76,0-2000,NEAR BAY,297394.993063492
-119.84,36.81,0-2000,INLAND,129951.38
-121.43,37.75,0-2000,INLAND,165640.59499999997
-118.22,34.09,0-2000,<1H OCEAN,194732.87714285718
-117.04,32.55,2000-4000,NEAR OCEAN,135334.01333333334
-117.14,33.15,0-2000,<1H OCEAN,218905.88
-117.94,34.04,0-2000,<1H OCEAN,198519.96114285706
-117.93,34.57,2000-4000,INLAND,166972.2
-118.37,34.16,0-2000,<1H OCEAN,294938.74299999996
-117.1,34.21,0-2000,INLAND,137772.68
-122.42,40.44,0-2000,INLAND,114478.04
-121.47,38.54,0-2000,INLAND,70532.60533333333
-118.14,34.08,0-2000,<1H OCEAN,262173.8406666667
-118.39,34.23,2000-4000,<1H OCEAN,206330.21333333335
-121.41,38.69,0-2000,INLAND,122472.15466666667
-123.8,39.44,0-2000,<1H OCEAN,128762.79276190477
-117.71,33.54,0-2000,<1H OCEAN,409603.98373333336
-121.5,38.56,0-2000,INLAND,185595.8960779221
-117.24,32.75,0-2000,NEAR OCEAN,282288.7693333333
-118.26,33.82,4000-6000,<1H OCEAN,251547.88209523808
-117.95,33.71,2000-4000,<1H OCEAN,398533.52
-117.24,32.75,0-2000,NEAR OCEAN,282288.7693333333
-121.35,38.04,2000-4000,INLAND,191977.73
-117.57,33.88,0-2000,INLAND,142778.808
-117.24,32.94,0-2000,NEAR OCEAN,424661.622
-121.63,39.12,0-2000,INLAND,131336.56333333335
-117.9,33.8,0-2000,<1H OCEAN,248973.9166666667
-122.01,38.26,2000-4000,INLAND,182420.74
-118.44,34.17,0-2000,<1H OCEAN,359528.99222666665
-117.92,33.9,0-2000,<1H OCEAN,447396.2071428571
-122.64,38.01,0-2000,NEAR OCEAN,344122.32
-119.97,36.44,0-2000,INLAND,98661.84
-117.95,33.79,0-2000,<1H OCEAN,264706.1066666667
-118.05,33.84,2000-4000,<1H OCEAN,281800.3333333333
-121.26,37.95,0-2000,INLAND,74144.746
-118.96,37.64,0-2000,INLAND,148130.7838095238
-121.64,39.11,0-2000,INLAND,141380.46000000002
-117.12,32.76,0-2000,NEAR OCEAN,163719.610545066
-116.92,32.86,0-2000,<1H OCEAN,184353.28
-118.83,34.33,2000-4000,<1H OCEAN,441908.1785333332
-122.39,37.78,0-2000,NEAR BAY,242818.46317460318
-117.25,32.73,0-2000,NEAR OCEAN,477186.33028571424
-120.84,35.3,0-2000,NEAR OCEAN,293151.00399999996
-117.98,33.7,0-2000,<1H OCEAN,280621.97904761904
-122.24,37.77,0-2000,NEAR BAY,230594.0166666667
-121.36,38.66,0-2000,INLAND,141097.45066666667
-122.5,37.92,0-2000,NEAR BAY,405485.80733333336
-120.84,37.48,0-2000,INLAND,139136.68
-118.31,33.88,0-2000,<1H OCEAN,322313.03466666664
-118.09,34.68,10000-12000,INLAND,170525.09966666668
-119.23,35.77,0-2000,INLAND,85245.04
-118.32,34.19,0-2000,<1H OCEAN,303485.4828571429
-118.52,34.22,0-2000,<1H OCEAN,267388.4746666666
-118.3,34.1,4000-6000,<1H OCEAN,364260.27133333334
-121.25,36.32,4000-6000,<1H OCEAN,213046.88
-118.15,33.94,0-2000,<1H OCEAN,275081.4553333333
-117.43,34.01,0-2000,INLAND,121055.0
-122.56,37.9,0-2000,NEAR BAY,481418.91439999995
-120.84,37.51,0-2000,INLAND,173213.12
-118.28,34.06,0-2000,<1H OCEAN,235215.91000000003
-119.17,34.15,2000-4000,NEAR OCEAN,248148.59333333335
-122.04,37.35,0-2000,<1H OCEAN,455661.3790190478
-122.28,37.87,0-2000,NEAR BAY,233140.6489523809
-118.06,33.91,4000-6000,<1H OCEAN,218945.14666666667
-118.47,34.15,0-2000,<1H OCEAN,566709.0408000001
-118.48,34.04,0-2000,<1H OCEAN,614170.1028000006
-117.08,32.76,0-2000,NEAR OCEAN,176744.05542857145
-118.71,34.3,0-2000,<1H OCEAN,312773.7146666667
-118.2,34.04,0-2000,<1H OCEAN,164552.95261904766
-122.04,37.88,0-2000,NEAR BAY,426774.93333333335
-117.76,33.83,0-2000,<1H OCEAN,494893.3867999999
-117.11,33.74,0-2000,INLAND,144404.2
-122.22,37.84,0-2000,NEAR BAY,444449.6081333334
-115.37,32.82,0-2000,INLAND,97274.98266666666
-118.11,34.16,0-2000,INLAND,337252.6019047619
-116.76,34.23,0-2000,INLAND,103208.92
-122.12,37.42,0-2000,NEAR BAY,471378.0061333334
-117.23,32.78,0-2000,NEAR OCEAN,300234.26190476195
-118.44,34.19,2000-4000,<1H OCEAN,243018.4476190476
-120.9,37.64,0-2000,INLAND,214156.68
-117.27,34.05,0-2000,INLAND,151019.228
-120.85,37.06,0-2000,INLAND,141090.92
-116.99,32.7,2000-4000,NEAR OCEAN,162382.03
-121.6,39.15,0-2000,INLAND,181982.4826666667
-117.32,34.55,0-2000,INLAND,93470.74533333331
-121.47,38.49,2000-4000,INLAND,104709.32
-118.45,34.23,4000-6000,<1H OCEAN,225853.70333333337
-118.08,34.12,0-2000,<1H OCEAN,406458.7981333334
-117.96,33.94,0-2000,<1H OCEAN,287794.5140000001
-118.14,34.06,2000-4000,<1H OCEAN,259167.44000000003
-118.88,34.17,0-2000,<1H OCEAN,361643.52
-117.23,33.77,0-2000,INLAND,162249.0772
-117.88,33.85,2000-4000,<1H OCEAN,230792.272
-121.3,38.03,0-2000,INLAND,131358.78
-117.9,33.99,4000-6000,<1H OCEAN,279143.9138095238
-117.24,32.74,0-2000,NEAR OCEAN,360617.9366666667
-124.18,40.78,0-2000,NEAR OCEAN,85245.37066666668
-118.1,33.91,0-2000,<1H OCEAN,209761.70863492068
-122.06,37.77,4000-6000,NEAR BAY,364535.51
-121.68,39.15,0-2000,INLAND,170436.76
-117.14,32.7,0-2000,NEAR OCEAN,109301.93023232318
-117.02,32.76,0-2000,<1H OCEAN,223327.5133333333
-117.86,33.62,0-2000,<1H OCEAN,594689.5465600005
-117.13,32.79,0-2000,NEAR OCEAN,197453.40466666664
-118.2,34.04,0-2000,<1H OCEAN,164552.95261904766
-120.57,38.2,0-2000,INLAND,124191.89
-118.17,33.96,2000-4000,<1H OCEAN,184735.2
-117.74,33.46,0-2000,<1H OCEAN,599831.2388000004
-117.18,34.54,2000-4000,INLAND,137295.69333333333
-118.42,34.18,0-2000,<1H OCEAN,386001.81428571435
-119.69,34.38,0-2000,NEAR OCEAN,444132.195
-117.27,33.03,0-2000,NEAR OCEAN,249872.13133333335
-118.41,34.25,0-2000,<1H OCEAN,175806.704
-118.66,34.02,2000-4000,NEAR OCEAN,613719.3256000006
-122.15,37.74,0-2000,NEAR BAY,226050.87630591635
-120.85,37.49,2000-4000,INLAND,113662.94961904762
-118.29,34.17,0-2000,<1H OCEAN,336800.54766222223
-122.7,38.43,0-2000,<1H OCEAN,195376.8637619048
-117.76,33.86,0-2000,<1H OCEAN,355202.34
-122.58,38.15,0-2000,<1H OCEAN,380270.8
-118.32,34.04,2000-4000,<1H OCEAN,189704.26823809522
-120.46,36.87,0-2000,INLAND,83670.65333333334
-117.92,33.7,0-2000,<1H OCEAN,237759.77
-121.59,39.39,0-2000,INLAND,76391.85333333333
-117.94,34.02,2000-4000,<1H OCEAN,189157.4533333333
-120.45,34.94,0-2000,<1H OCEAN,157531.15
-117.12,32.76,0-2000,NEAR OCEAN,163719.610545066
-117.34,34.0,0-2000,INLAND,161155.36
-118.05,34.1,0-2000,INLAND,329810.1986666666
-118.19,33.82,0-2000,NEAR OCEAN,293975.976
-117.38,34.06,0-2000,INLAND,177351.0
-121.27,37.97,0-2000,INLAND,78854.96866666667
-122.18,39.75,0-2000,INLAND,99774.12
-118.49,34.03,0-2000,<1H OCEAN,548918.1396190478
-117.68,33.54,0-2000,<1H OCEAN,352347.81571428565
-122.92,39.05,0-2000,INLAND,155749.27
-120.0,38.92,0-2000,INLAND,177335.31399999998
-121.2,37.79,0-2000,INLAND,141508.1357142857
-117.3,34.11,0-2000,INLAND,84398.52447619049
-118.38,33.86,0-2000,<1H OCEAN,448530.36428571434
-117.01,33.75,0-2000,INLAND,128018.84
-118.04,33.99,0-2000,<1H OCEAN,225426.63749206346
-121.25,38.69,0-2000,INLAND,192922.81666666665
-122.09,37.65,0-2000,NEAR BAY,236362.042
-121.26,37.96,0-2000,INLAND,78362.47461904763
-117.35,33.97,2000-4000,INLAND,186189.82333333336
-118.2,33.91,0-2000,<1H OCEAN,148713.076
-118.46,34.02,0-2000,<1H OCEAN,471354.14528571424
-118.32,33.94,0-2000,<1H OCEAN,229169.48399999994
-118.25,33.8,0-2000,<1H OCEAN,201762.694
-119.75,36.75,0-2000,INLAND,65207.270333333334
-122.24,38.14,4000-6000,NEAR BAY,175547.42
-119.05,36.07,0-2000,INLAND,92305.6
-120.82,37.49,0-2000,INLAND,159519.552
-121.96,37.06,0-2000,NEAR OCEAN,443164.84
-122.13,37.45,0-2000,NEAR BAY,583422.3539333338
-118.05,33.82,0-2000,<1H OCEAN,399234.12
-122.03,38.25,0-2000,INLAND,134248.6
-121.94,37.33,0-2000,<1H OCEAN,341759.5501904762
-118.0,33.73,0-2000,<1H OCEAN,354295.1560000001
-118.32,33.89,0-2000,<1H OCEAN,276059.87733333337
-122.05,37.95,2000-4000,NEAR BAY,226687.936952381
-118.23,34.16,0-2000,<1H OCEAN,469518.45519047626
-121.46,38.61,0-2000,INLAND,82625.67777777778
-117.14,32.71,0-2000,NEAR OCEAN,128214.09584848484
-122.46,37.71,0-2000,NEAR OCEAN,281876.42424242425
-121.49,38.53,0-2000,INLAND,114542.31333333335
-118.49,34.22,0-2000,<1H OCEAN,271269.9462857142
-122.03,37.69,0-2000,NEAR BAY,340059.0466666667
-117.62,33.77,0-2000,<1H OCEAN,313057.9764
-118.07,34.12,0-2000,INLAND,350182.6112666667
-118.1,33.96,0-2000,<1H OCEAN,205811.6217142857
-118.36,34.03,0-2000,<1H OCEAN,157347.9882222222
-117.27,34.17,0-2000,INLAND,143993.08685714286
-121.62,36.63,0-2000,<1H OCEAN,203936.6
-118.53,34.26,0-2000,<1H OCEAN,475497.87720000005
-118.52,34.04,0-2000,<1H OCEAN,620001.2400000006
-122.4,37.73,0-2000,NEAR BAY,271830.72742857144
-117.84,33.66,0-2000,<1H OCEAN,310019.22000000003
-122.0,37.96,2000-4000,INLAND,191149.1
-118.29,33.96,0-2000,<1H OCEAN,143794.523
-121.53,39.53,0-2000,INLAND,103535.04
-121.99,37.34,0-2000,<1H OCEAN,303256.4548571429
-122.23,40.2,0-2000,INLAND,101210.04
-117.25,32.73,0-2000,NEAR OCEAN,477186.33028571424
-118.38,33.81,0-2000,NEAR OCEAN,609089.9691199997
-122.0,37.28,0-2000,<1H OCEAN,521142.40099333314
-118.19,33.79,2000-4000,NEAR OCEAN,171165.17880952382
-118.26,33.94,0-2000,<1H OCEAN,117265.94971428571
-117.64,33.88,2000-4000,<1H OCEAN,337565.2
-122.41,37.61,0-2000,NEAR OCEAN,392853.9893333333
-117.87,33.87,0-2000,<1H OCEAN,283696.252
-116.47,33.84,2000-4000,INLAND,148972.3724
-118.47,34.19,0-2000,<1H OCEAN,319850.932
-119.84,34.44,0-2000,NEAR OCEAN,330876.9706666667
-120.44,34.65,0-2000,NEAR OCEAN,176657.90790476193
-118.1,33.9,0-2000,<1H OCEAN,206297.42123809524
-118.25,33.93,0-2000,<1H OCEAN,107700.1940952381
-117.07,32.63,0-2000,NEAR OCEAN,192025.03599999993
-122.33,38.33,0-2000,NEAR BAY,290233.036
-118.37,34.04,0-2000,<1H OCEAN,270653.309047619
-121.88,37.39,2000-4000,<1H OCEAN,343757.67142857134
-121.22,37.72,0-2000,INLAND,192403.19466666665
-121.29,36.9,0-2000,INLAND,249923.24
-122.96,38.42,0-2000,<1H OCEAN,228710.56
-121.84,37.32,2000-4000,<1H OCEAN,220682.8
-119.56,36.09,0-2000,INLAND,66696.91333333333
-117.13,32.91,0-2000,<1H OCEAN,220687.38800000004
-118.99,35.4,0-2000,INLAND,100324.618
-118.04,33.83,0-2000,<1H OCEAN,347442.8333333334
-121.95,36.61,0-2000,NEAR OCEAN,435572.25504761905
-122.29,37.48,2000-4000,NEAR OCEAN,569139.9140666671
-122.3,37.52,0-2000,NEAR OCEAN,481289.2393333334
-122.34,37.93,0-2000,NEAR BAY,124930.744
-117.33,34.03,0-2000,INLAND,138805.6
-122.5,37.76,0-2000,NEAR OCEAN,360565.1068513708
-121.03,37.69,0-2000,INLAND,182448.64
-118.28,33.74,0-2000,NEAR OCEAN,267357.8761904762
-118.1,33.82,0-2000,<1H OCEAN,298674.8999047619
-121.37,38.01,0-2000,INLAND,199283.91333333333
-118.2,34.2,0-2000,<1H OCEAN,598647.751386667
-121.84,36.61,2000-4000,<1H OCEAN,151466.0
-119.52,34.4,0-2000,NEAR OCEAN,343542.4133333332
-117.98,34.0,0-2000,<1H OCEAN,277161.39
-118.42,37.36,0-2000,INLAND,179519.76
-115.54,32.98,0-2000,INLAND,103422.99123809522
-122.36,37.95,0-2000,NEAR BAY,114205.9042857143
-117.29,32.92,0-2000,NEAR OCEAN,598691.6416000006
-116.25,33.75,0-2000,INLAND,206241.85919999998
-117.34,33.98,8000-10000,INLAND,175139.58400000003
-119.78,36.27,0-2000,INLAND,109958.24
-120.1,39.33,0-2000,INLAND,245823.81240000002
-122.04,37.96,0-2000,NEAR BAY,198591.00133333338
-117.91,33.65,0-2000,<1H OCEAN,264098.0539235209
-118.99,34.23,4000-6000,<1H OCEAN,336939.13639999984
-119.27,34.29,0-2000,NEAR OCEAN,385779.7893333334
-118.32,34.03,0-2000,<1H OCEAN,239824.83844444435
-117.2,33.2,0-2000,<1H OCEAN,299276.48
-117.81,33.71,0-2000,<1H OCEAN,288043.971
-118.31,33.98,0-2000,<1H OCEAN,132832.6858253968
-122.3,37.88,0-2000,NEAR BAY,203957.83647619054
-118.65,34.18,0-2000,<1H OCEAN,358394.8192
-118.39,34.01,0-2000,<1H OCEAN,449118.9243809525
-117.94,33.65,2000-4000,<1H OCEAN,374243.44933333335
-122.28,37.5,2000-4000,NEAR OCEAN,531640.4892000001
-121.96,37.81,2000-4000,<1H OCEAN,489543.32
-122.43,37.8,0-2000,NEAR BAY,593322.3301241171
-119.77,36.79,0-2000,INLAND,96473.86
-122.41,40.58,0-2000,INLAND,130224.18
-118.14,34.03,0-2000,<1H OCEAN,240796.94333333336
-119.45,36.35,0-2000,INLAND,111582.64
-118.46,34.0,0-2000,<1H OCEAN,390463.58376190474
-122.24,40.45,0-2000,INLAND,103603.65333333332
-117.25,32.78,0-2000,NEAR OCEAN,391726.54
-121.29,38.14,0-2000,INLAND,147739.63466666668
-118.84,34.16,2000-4000,<1H OCEAN,473596.25453333335
-120.47,37.29,0-2000,INLAND,93096.61666666668
-122.8,38.37,0-2000,<1H OCEAN,300063.88
-117.08,32.62,0-2000,NEAR OCEAN,185278.76285714284
-119.71,34.41,0-2000,NEAR OCEAN,373911.32123809523
-117.96,34.04,0-2000,<1H OCEAN,191186.672
-122.06,37.99,0-2000,NEAR BAY,212414.48
-121.25,38.14,0-2000,INLAND,147250.0
-121.26,37.88,0-2000,INLAND,106124.16
-122.28,40.5,0-2000,INLAND,133358.28
-117.98,33.84,0-2000,<1H OCEAN,242805.206
-122.09,37.37,0-2000,NEAR BAY,613267.3373333339
-118.08,33.93,0-2000,<1H OCEAN,202667.57514285712
-121.84,37.25,2000-4000,<1H OCEAN,237436.44
-115.56,32.78,0-2000,INLAND,97731.92857142857
-117.37,33.7,2000-4000,<1H OCEAN,155665.88
-119.78,34.48,0-2000,NEAR OCEAN,512757.38480000006
-118.58,34.2,0-2000,<1H OCEAN,274548.0988571429
-119.22,34.26,0-2000,NEAR OCEAN,257108.79199999996
-122.09,37.39,0-2000,NEAR BAY,390596.1825714286
-118.37,34.05,0-2000,<1H OCEAN,472703.03417467535
-119.24,36.33,0-2000,INLAND,119983.95
-117.68,34.15,0-2000,INLAND,464117.12
-117.78,34.11,2000-4000,INLAND,253100.12
-119.65,36.34,0-2000,INLAND,88702.16
-118.15,34.07,0-2000,<1H OCEAN,281562.37733333337
-121.75,36.91,0-2000,<1H OCEAN,190072.9866666667
-121.65,36.77,0-2000,<1H OCEAN,224753.38933333338
-117.75,33.61,0-2000,<1H OCEAN,290796.5333333334
-117.41,33.94,2000-4000,INLAND,138475.45
-117.88,33.85,0-2000,<1H OCEAN,218726.65866666668
-117.09,32.91,0-2000,<1H OCEAN,326435.58
-119.18,35.5,0-2000,INLAND,125589.68
-118.08,34.1,0-2000,<1H OCEAN,264235.01
-118.15,34.2,0-2000,INLAND,252286.06
-122.49,37.78,0-2000,NEAR BAY,442384.18280507927
-119.79,36.32,0-2000,INLAND,117855.8
-117.66,34.09,0-2000,INLAND,199182.00599999996
-122.29,37.81,0-2000,NEAR BAY,121071.66185137084
-118.27,33.79,2000-4000,<1H OCEAN,229876.01533333334
-118.37,34.03,0-2000,<1H OCEAN,240357.46666666665
-117.96,33.83,0-2000,<1H OCEAN,220048.64333333328
-119.2,34.27,2000-4000,NEAR OCEAN,297834.36
-118.27,33.98,0-2000,<1H OCEAN,122751.08971428573
-119.17,34.26,0-2000,NEAR OCEAN,254833.95
-118.5,34.52,2000-4000,INLAND,344031.8
-122.27,40.46,0-2000,INLAND,88997.28
-117.89,33.71,2000-4000,<1H OCEAN,233451.28666666668
-121.82,37.37,0-2000,<1H OCEAN,256373.59600000002
-117.71,33.54,0-2000,<1H OCEAN,409603.98373333336
-122.48,38.54,0-2000,INLAND,330436.7706666667
-117.94,34.09,0-2000,<1H OCEAN,205181.89509523808
-117.15,32.74,0-2000,NEAR OCEAN,291842.6239047619
-118.25,34.02,0-2000,<1H OCEAN,144595.84495238095
-117.38,34.11,0-2000,INLAND,138223.62666666665
-117.38,34.13,0-2000,INLAND,149599.18
-121.8,38.68,0-2000,INLAND,144308.80266666666
-122.06,37.34,0-2000,<1H OCEAN,444140.96386666654
-117.43,33.93,0-2000,INLAND,138888.68
-117.06,33.13,4000-6000,<1H OCEAN,171576.03066666666
-118.52,34.32,2000-4000,<1H OCEAN,530539.0592
-117.91,33.94,2000-4000,<1H OCEAN,306027.8666666667
-118.32,34.14,0-2000,<1H OCEAN,529254.7044000002
-118.49,34.13,0-2000,<1H OCEAN,620001.2400000006
-121.94,37.25,0-2000,<1H OCEAN,327998.64133333345
-121.44,38.63,0-2000,INLAND,78118.04847619045
-118.74,34.26,2000-4000,<1H OCEAN,270968.6853333333
-119.38,36.53,0-2000,INLAND,82061.44333333334
-117.95,33.93,0-2000,<1H OCEAN,223043.71866666668
-119.69,36.82,0-2000,INLAND,99562.63455555556
-121.1,39.08,0-2000,INLAND,201780.24
-118.04,34.15,0-2000,INLAND,533605.3923142859
-118.26,33.77,0-2000,NEAR OCEAN,185948.28904761907
-117.14,32.71,0-2000,NEAR OCEAN,128214.09584848484
-119.25,34.27,0-2000,NEAR OCEAN,269411.2866666667
-118.39,34.04,0-2000,<1H OCEAN,469116.70240636356
-118.11,34.0,2000-4000,<1H OCEAN,220224.0
-121.38,38.64,2000-4000,INLAND,174035.488
-118.02,34.08,2000-4000,INLAND,202641.46133333334
-116.94,32.83,0-2000,<1H OCEAN,194469.82
-121.75,36.91,0-2000,<1H OCEAN,190072.9866666667
-118.16,33.78,2000-4000,NEAR OCEAN,236093.76504761897
-119.77,36.73,0-2000,INLAND,63210.797999999995
-119.46,36.61,0-2000,INLAND,121667.56
-118.5,34.19,0-2000,<1H OCEAN,276608.08133333334
-118.34,33.95,4000-6000,<1H OCEAN,203127.872
-116.91,33.71,2000-4000,INLAND,162927.32
-117.12,32.7,0-2000,NEAR OCEAN,90757.4472063492
-121.97,37.36,0-2000,<1H OCEAN,328529.18839538237
-122.82,38.53,0-2000,<1H OCEAN,226726.56
-119.06,36.1,0-2000,INLAND,92666.31599999999
-117.98,33.85,0-2000,<1H OCEAN,234472.406
-121.43,37.75,0-2000,INLAND,165640.59499999997
-116.98,33.93,0-2000,INLAND,101441.92
-121.55,39.51,0-2000,INLAND,68119.51366666667
-118.17,33.77,0-2000,NEAR OCEAN,247267.73719047618
-117.14,32.76,0-2000,NEAR OCEAN,195029.0068571428
-118.13,34.07,0-2000,<1H OCEAN,244582.3946666666
-117.9,33.65,0-2000,<1H OCEAN,322403.5812380952
-118.25,33.86,0-2000,<1H OCEAN,223759.612
-119.05,34.21,2000-4000,<1H OCEAN,293708.88
-121.89,37.66,0-2000,INLAND,328643.4
-118.4,34.05,0-2000,<1H OCEAN,616308.824331429
-118.4,33.99,0-2000,<1H OCEAN,405272.8166666667
-118.23,33.98,2000-4000,<1H OCEAN,192987.772
-118.25,33.95,0-2000,<1H OCEAN,119290.30692784993
-122.27,37.85,0-2000,NEAR BAY,194132.44145310248
-121.45,38.48,0-2000,INLAND,122714.12
-121.36,38.64,2000-4000,INLAND,181060.66666666663
-118.21,34.06,0-2000,<1H OCEAN,160137.81600000002
-122.75,38.5,0-2000,<1H OCEAN,281440.32
-122.27,37.51,0-2000,NEAR OCEAN,443813.74439999997
-122.12,37.68,0-2000,NEAR BAY,213863.1646190476
-121.45,38.56,0-2000,INLAND,216704.08876190477
-121.55,38.51,2000-4000,INLAND,244623.8933333333
-117.87,33.6,0-2000,<1H OCEAN,612557.6958733336
-118.05,33.72,0-2000,<1H OCEAN,251668.83759999997
-118.48,34.02,0-2000,<1H OCEAN,417997.8974285713
-119.67,36.8,0-2000,INLAND,128089.52
-118.09,33.79,0-2000,<1H OCEAN,320519.292
-118.35,34.07,0-2000,<1H OCEAN,602196.5505799998
-118.2,34.05,0-2000,<1H OCEAN,171283.86353968256
-121.01,37.69,0-2000,INLAND,187171.07666666663
-117.25,34.04,2000-4000,INLAND,226880.80714285717
-122.22,37.78,0-2000,NEAR BAY,154195.20591341992
-118.46,33.97,0-2000,<1H OCEAN,618947.5216866671
-117.28,34.17,0-2000,INLAND,146699.936
-120.47,34.65,0-2000,NEAR OCEAN,160140.93961904763
-121.87,37.26,0-2000,<1H OCEAN,281334.0933333334
-122.26,38.29,0-2000,NEAR BAY,228891.6
-122.0,38.35,0-2000,INLAND,162876.47999999995
-118.27,34.05,0-2000,<1H OCEAN,272593.95835238096
-118.21,33.96,2000-4000,<1H OCEAN,200335.37871428576
-118.05,33.78,0-2000,<1H OCEAN,434008.3493333334
-121.89,37.25,0-2000,<1H OCEAN,303889.07333333336
-118.09,33.76,0-2000,<1H OCEAN,71918.23152380953
-119.56,36.09,0-2000,INLAND,66696.91333333333
-118.13,33.79,2000-4000,NEAR OCEAN,396527.147152381
-122.02,37.87,0-2000,NEAR BAY,460589.1257333333
-122.26,37.82,2000-4000,NEAR BAY,234378.61328571427
-121.98,37.31,0-2000,<1H OCEAN,369562.28400000004
-117.34,34.13,0-2000,INLAND,131231.68
-117.01,32.81,0-2000,<1H OCEAN,186278.18957142855
-117.82,33.78,2000-4000,<1H OCEAN,377452.48666666663
-122.57,40.61,0-2000,INLAND,114089.92
-118.18,33.95,0-2000,<1H OCEAN,215235.8608571429
-117.39,33.95,0-2000,INLAND,144772.81804761905
-117.35,34.15,2000-4000,INLAND,127788.61333333333
-117.84,33.73,0-2000,<1H OCEAN,177920.36666666664
-119.54,36.52,0-2000,INLAND,96382.72
-122.31,37.54,0-2000,NEAR OCEAN,462876.33466666663
-122.4,37.81,0-2000,NEAR BAY,563645.4010100001
-118.33,34.01,0-2000,<1H OCEAN,227120.1773333333
-116.92,32.79,2000-4000,<1H OCEAN,196997.56
-117.13,33.13,0-2000,<1H OCEAN,210601.68266666663
-118.25,34.13,0-2000,<1H OCEAN,261609.49599999998
-121.03,39.37,0-2000,INLAND,129227.84
-121.29,37.95,0-2000,INLAND,76889.83733333334
-117.88,33.88,0-2000,<1H OCEAN,218088.64914285715
-118.38,34.19,0-2000,<1H OCEAN,220929.16733333332
-122.09,37.66,0-2000,NEAR BAY,199406.21866666668
-122.05,39.6,0-2000,INLAND,102941.08
-117.2,32.77,0-2000,NEAR OCEAN,255302.63752380948
-122.03,37.97,2000-4000,NEAR BAY,178806.49133333334
-117.24,32.85,0-2000,NEAR OCEAN,545096.5352000002
-118.53,34.09,0-2000,<1H OCEAN,618476.0152000005
-122.29,37.88,0-2000,NEAR BAY,253941.7962135643
-122.02,37.98,0-2000,NEAR BAY,204656.42
