longitude,latitude,population_range,ocean_proximity
-121.93,38.31,0-2000,INLAND
-119.7,36.3,0-2000,INLAND
-122.22,37.85,2000-4000,NEAR BAY
-118.36,34.04,0-2000,<1H OCEAN
-122.41,37.79,2000-4000,NEAR BAY
-122.71,37.9,0-2000,NEAR OCEAN
-120.65,35.27,0-2000,NEAR OCEAN
-118.36,33.89,0-2000,<1H OCEAN
-116.12,33.53,2000-4000,INLAND
-121,37.66,0-2000,INLAND
-122.46,37.74,0-2000,NEAR BAY
-121.24,37.94,0-2000,INLAND
-121.49,38.55,0-2000,INLAND
-122.41,37.8,0-2000,NEAR BAY
-118.11,33.83,0-2000,<1H OCEAN
-118.18,33.77,0-2000,NEAR OCEAN
-118.28,34.03,2000-4000,<1H OCEAN
-117.32,34.09,0-2000,INLAND
-117.32,33.23,0-2000,NEAR OCEAN
-117.65,33.6,0-2000,<1H OCEAN
-120.7,35.55,0-2000,<1H OCEAN
-116.89,33.92,0-2000,INLAND
-122.49,37.54,0-2000,NEAR OCEAN
-119.3,38.26,0-2000,INLAND
-121.11,38.04,0-2000,INLAND
-117.87,33.61,0-2000,<1H OCEAN
-118.28,34.04,0-2000,<1H OCEAN
-117.78,33.69,2000-4000,<1H OCEAN
-118.85,35.2,2000-4000,INLAND
-121.55,38.51,0-2000,INLAND
-118.08,34.11,0-2000,<1H OCEAN
-121.35,38.6,0-2000,INLAND
-122.33,37.58,0-2000,NEAR OCEAN
-117.88,33.77,0-2000,<1H OCEAN
-119.84,36.75,0-2000,INLAND
-118.29,33.96,2000-4000,<1H OCEAN
-117.87,33.88,0-2000,<1H OCEAN
-118.21,34.65,2000-4000,INLAND
-118.11,34.01,0-2000,<1H OCEAN
-122.19,37.75,0-2000,NEAR BAY
-118.39,34.21,2000-4000,<1H OCEAN
-116.61,33.04,0-2000,INLAND
-118.15,35.06,0-2000,INLAND
-118.49,34.21,0-2000,<1H OCEAN
-117.7,33.63,0-2000,<1H OCEAN
-117.29,33.24,0-2000,<1H OCEAN
-121.34,37.96,2000-4000,INLAND
-117.01,32.99,0-2000,<1H OCEAN
-117.69,34.07,0-2000,INLAND
-122.07,37.64,2000-4000,NEAR BAY
-122.12,37.7,0-2000,NEAR BAY
-120.81,37.53,0-2000,INLAND
-122.45,37.81,0-2000,NEAR BAY
-117.21,32.86,0-2000,NEAR OCEAN
-117.79,33.68,0-2000,<1H OCEAN
-121.81,37.31,0-2000,<1H OCEAN
-118.17,33.98,0-2000,<1H OCEAN
-122.29,37.89,0-2000,NEAR BAY
-118.22,33.98,2000-4000,<1H OCEAN
-118.3,34.09,2000-4000,<1H OCEAN
-118.15,34.2,0-2000,INLAND
-117.23,32.72,0-2000,NEAR OCEAN
-117.55,33.87,4000-6000,INLAND
-117.69,34.01,2000-4000,INLAND
-121.91,36.62,0-2000,<1H OCEAN
-123.22,40.16,0-2000,INLAND
-118.14,34.04,0-2000,<1H OCEAN
-119.74,36.75,0-2000,INLAND
-118.18,34.05,2000-4000,<1H OCEAN
-122.13,37.68,0-2000,NEAR BAY
-118.23,34.66,0-2000,INLAND
-118.33,33.9,4000-6000,<1H OCEAN
-122.34,37.95,0-2000,NEAR BAY
-118.19,34.03,0-2000,<1H OCEAN
-118.38,33.87,0-2000,<1H OCEAN
-122.48,37.64,0-2000,NEAR OCEAN
-122.41,37.79,0-2000,NEAR BAY
-122.22,38.1,0-2000,NEAR BAY
-121.83,37.95,0-2000,INLAND
-117.71,33.51,0-2000,<1H OCEAN
-117.23,33.1,0-2000,NEAR OCEAN
-121.25,38.67,2000-4000,INLAND
-117.8,33.67,0-2000,<1H OCEAN
-122,39.94,0-2000,INLAND
-120.3,38.9,0-2000,INLAND
-121.91,37.31,0-2000,<1H OCEAN
-117.07,32.69,0-2000,NEAR OCEAN
-117,32.8,0-2000,<1H OCEAN
-121.32,37.67,0-2000,INLAND
-119.23,34.44,0-2000,<1H OCEAN
-122.43,37.77,0-2000,NEAR BAY
-122.02,37.31,0-2000,<1H OCEAN
-121.38,36.84,2000-4000,INLAND
-117.28,34.12,0-2000,INLAND
-117.08,33.04,0-2000,<1H OCEAN
-120.65,38.42,0-2000,INLAND
-121.33,38.68,2000-4000,INLAND
-117.97,33.75,0-2000,<1H OCEAN
-121.44,37.75,0-2000,INLAND
-121.51,38.26,0-2000,INLAND
-122.29,37.81,0-2000,NEAR BAY
-122.08,37.65,2000-4000,NEAR BAY
-122.49,37.78,0-2000,NEAR BAY
-120.42,38.42,0-2000,INLAND
-118.13,34.16,0-2000,<1H OCEAN
-117.01,34.9,0-2000,INLAND
-117.24,32.74,0-2000,NEAR OCEAN
-118.15,33.84,0-2000,<1H OCEAN
-118.01,33.94,0-2000,<1H OCEAN
-118.36,33.94,2000-4000,<1H OCEAN
-118.19,33.99,0-2000,<1H OCEAN
-121.9,37.31,0-2000,<1H OCEAN
-118.43,34.29,0-2000,<1H OCEAN
-121.08,38.93,0-2000,INLAND
-122.48,38.9,0-2000,INLAND
-122.18,37.91,2000-4000,NEAR BAY
-121.42,38.6,2000-4000,INLAND
-117.17,32.72,0-2000,NEAR OCEAN
-117.88,33.7,0-2000,<1H OCEAN
-120.97,37.73,0-2000,INLAND
-121.63,39.15,0-2000,INLAND
-120.27,37.12,0-2000,INLAND
-121.96,37.43,2000-4000,<1H OCEAN
-118.32,34.17,0-2000,<1H OCEAN
-117.95,33.78,2000-4000,<1H OCEAN
-121.87,37.3,0-2000,<1H OCEAN
-117.23,34.11,0-2000,INLAND
-117.96,33.85,0-2000,<1H OCEAN
-122.42,37.79,0-2000,NEAR BAY
-120.08,39.23,0-2000,INLAND
-118.25,34.02,0-2000,<1H OCEAN
-119.33,36.19,0-2000,INLAND
-120.56,35.07,2000-4000,<1H OCEAN
-117.1,32.58,0-2000,NEAR OCEAN
-118.2,34.13,2000-4000,<1H OCEAN
-117.22,32.81,0-2000,NEAR OCEAN
-118.41,34,0-2000,<1H OCEAN
-119.71,36.81,0-2000,INLAND
-118.44,34.06,0-2000,<1H OCEAN
-117.97,33.84,0-2000,<1H OCEAN
-119.63,36.32,0-2000,INLAND
-118.53,34.04,0-2000,<1H OCEAN
-117.93,34.07,0-2000,<1H OCEAN
-117.31,34.08,0-2000,INLAND
-122.44,37.7,0-2000,NEAR OCEAN
-122.04,37.34,0-2000,<1H OCEAN
-121.26,38.65,0-2000,INLAND
-118.49,34.19,0-2000,<1H OCEAN
-118.29,34.09,2000-4000,<1H OCEAN
-122.04,38.24,0-2000,INLAND
-117.82,33.73,0-2000,<1H OCEAN
-117.81,33.74,0-2000,<1H OCEAN
-117.95,33.7,2000-4000,<1H OCEAN
-123.82,40.12,0-2000,<1H OCEAN
-118.36,33.86,0-2000,<1H OCEAN
-118.77,34.28,0-2000,<1H OCEAN
-122.29,37.86,0-2000,NEAR BAY
-120.18,36.59,0-2000,INLAND
-118.02,34.09,0-2000,INLAND
-117.96,33.82,0-2000,<1H OCEAN
-120.13,39.06,0-2000,INLAND
-121.35,38.68,2000-4000,INLAND
-121.73,36.9,2000-4000,<1H OCEAN
-117.18,34.08,0-2000,INLAND
-122.91,39.18,0-2000,INLAND
-119.74,36.65,0-2000,INLAND
-118.34,33.99,0-2000,<1H OCEAN
-118.13,34.2,0-2000,INLAND
-117.17,32.83,0-2000,NEAR OCEAN
-118.5,34.2,0-2000,<1H OCEAN
-117.97,33.72,0-2000,<1H OCEAN
-118.39,34.08,2000-4000,<1H OCEAN
-119.71,36.83,0-2000,INLAND
-117.89,33.88,0-2000,<1H OCEAN
-117.19,33.14,0-2000,<1H OCEAN
-114.62,33.62,0-2000,INLAND
-122.25,37.8,0-2000,NEAR BAY
-118.25,33.97,0-2000,<1H OCEAN
-122.14,37.72,0-2000,NEAR BAY
-117.97,34.17,2000-4000,INLAND
-122.55,38.42,0-2000,<1H OCEAN
-118.22,34.52,2000-4000,INLAND
-118.23,34.13,0-2000,<1H OCEAN
-117.13,32.72,0-2000,NEAR OCEAN
-119.03,35.36,0-2000,INLAND
-122.41,37.8,0-2000,NEAR BAY
-122.46,37.72,0-2000,NEAR OCEAN
-118.07,33.93,0-2000,<1H OCEAN
-121.82,37.28,0-2000,<1H OCEAN
-121.9,36.58,0-2000,NEAR OCEAN
-117.94,34.15,0-2000,INLAND
-121.3,38.13,0-2000,INLAND
-118.36,34.06,0-2000,<1H OCEAN
-118.23,34.14,2000-4000,<1H OCEAN
-119.72,34.43,0-2000,<1H OCEAN
-121.76,36.75,0-2000,<1H OCEAN
-117.09,32.74,2000-4000,NEAR OCEAN
-118.19,34.04,0-2000,<1H OCEAN
-118.36,33.89,0-2000,<1H OCEAN
-118.09,33.96,0-2000,<1H OCEAN
-119.9,37.49,0-2000,INLAND
-117.49,33.64,2000-4000,<1H OCEAN
-121.36,38.01,0-2000,INLAND
-117.35,34.16,0-2000,INLAND
-118.35,33.8,2000-4000,<1H OCEAN
-117.2,32.84,0-2000,NEAR OCEAN
-118.46,34.32,2000-4000,<1H OCEAN
-121.6,37.13,4000-6000,<1H OCEAN
-118.35,33.98,0-2000,<1H OCEAN
-121.72,38,4000-6000,INLAND
-117.99,33.73,0-2000,<1H OCEAN
-121.85,37.33,4000-6000,<1H OCEAN
-117.93,33.62,0-2000,<1H OCEAN
-120.02,36.8,0-2000,INLAND
-122.38,37.58,0-2000,NEAR OCEAN
-117.84,33.74,4000-6000,<1H OCEAN
-117.98,33.77,0-2000,<1H OCEAN
-122.59,37.97,0-2000,NEAR OCEAN
-119.35,35.59,0-2000,INLAND
-121.24,39.22,0-2000,INLAND
-117.96,34.08,2000-4000,<1H OCEAN
-117.7,33.64,2000-4000,<1H OCEAN
-117.65,34.04,2000-4000,INLAND
-121.9,38.02,0-2000,INLAND
-118.07,33.99,0-2000,<1H OCEAN
-118.28,33.99,0-2000,<1H OCEAN
-117.89,33.83,0-2000,<1H OCEAN
-119.35,36.42,0-2000,INLAND
-122.3,37.55,0-2000,NEAR OCEAN
-118.16,34.7,0-2000,INLAND
-122.48,38.48,0-2000,INLAND
-119.73,36.52,0-2000,INLAND
-122.25,37.53,0-2000,NEAR BAY
-118.37,34.07,0-2000,<1H OCEAN
-118.04,33.85,0-2000,<1H OCEAN
-116.95,32.74,0-2000,<1H OCEAN
-122.58,38.1,4000-6000,NEAR BAY
-118.47,34.04,2000-4000,<1H OCEAN
-118.25,33.92,0-2000,<1H OCEAN
-117.29,34.14,0-2000,INLAND
-119.49,37.1,0-2000,INLAND
-122.7,38.45,0-2000,<1H OCEAN
-121.9,37.44,2000-4000,<1H OCEAN
-117.27,34.24,0-2000,INLAND
-121.27,38.12,0-2000,INLAND
-119.72,34.42,0-2000,NEAR OCEAN
-119.54,36.51,0-2000,INLAND
-118.41,33.97,0-2000,<1H OCEAN
-120.85,37.51,0-2000,INLAND
-122.42,37.75,0-2000,NEAR BAY
-118.28,33.98,0-2000,<1H OCEAN
-118.27,33.82,0-2000,<1H OCEAN
-117.01,32.73,0-2000,NEAR OCEAN
-122.25,37.8,0-2000,NEAR BAY
-118.44,33.88,0-2000,NEAR OCEAN
-118.35,33.85,0-2000,<1H OCEAN
-122.35,37.96,0-2000,NEAR BAY
-118.43,34.16,0-2000,<1H OCEAN
-118.3,33.93,0-2000,<1H OCEAN
-121.28,38.53,0-2000,INLAND
-117.27,33,0-2000,NEAR OCEAN
-122.41,37.63,0-2000,NEAR OCEAN
-117.18,32.76,0-2000,NEAR OCEAN
-118.45,33.99,0-2000,<1H OCEAN
-117.07,32.8,0-2000,<1H OCEAN
-121.34,38.59,0-2000,INLAND
-118.64,34.22,0-2000,<1H OCEAN
-117.94,33.88,0-2000,<1H OCEAN
-121.98,37.27,0-2000,<1H OCEAN
-117.02,32.73,2000-4000,NEAR OCEAN
-118.09,34.15,0-2000,INLAND
-122.52,37.89,0-2000,NEAR BAY
-117.24,34.14,0-2000,INLAND
-118.58,34.21,0-2000,<1H OCEAN
-118.02,33.92,0-2000,<1H OCEAN
-117.82,33.82,0-2000,<1H OCEAN
-117.87,33.84,0-2000,<1H OCEAN
-122.45,38.01,2000-4000,NEAR BAY
-117.69,36.13,0-2000,INLAND
-118.18,34.03,0-2000,<1H OCEAN
-122.44,37.78,0-2000,NEAR BAY
-117.99,34.08,0-2000,INLAND
-119.63,34.4,0-2000,<1H OCEAN
-122.62,38.24,0-2000,<1H OCEAN
-122.33,38.29,0-2000,NEAR BAY
-119.82,36.79,0-2000,INLAND
-118.61,34.21,0-2000,<1H OCEAN
-122.53,37.87,0-2000,NEAR BAY
-118.26,33.91,0-2000,<1H OCEAN
-121.92,37.28,0-2000,<1H OCEAN
-120.46,37.29,0-2000,INLAND
-121.97,36.97,0-2000,NEAR OCEAN
-117.16,32.73,0-2000,NEAR OCEAN
-118.19,33.78,0-2000,NEAR OCEAN
-117.11,32.69,0-2000,NEAR OCEAN
-117.88,33.82,0-2000,<1H OCEAN
-122.48,37.69,0-2000,NEAR OCEAN
-118.15,34.17,0-2000,<1H OCEAN
-117.7,33.6,0-2000,<1H OCEAN
-116.22,33.73,0-2000,INLAND
-119.07,35.34,0-2000,INLAND
-120.71,37.38,0-2000,INLAND
-121.36,37.99,0-2000,INLAND
-117.3,33.23,0-2000,<1H OCEAN
-118.15,33.94,0-2000,<1H OCEAN
-118.11,34.15,0-2000,<1H OCEAN
-117.1,32.74,0-2000,NEAR OCEAN
-122.67,38.33,4000-6000,<1H OCEAN
-118.14,34.06,0-2000,<1H OCEAN
-118.27,34,0-2000,<1H OCEAN
-118.31,33.67,0-2000,NEAR OCEAN
-122.23,40.57,0-2000,INLAND
-117.04,32.58,0-2000,NEAR OCEAN
-118.51,34,0-2000,<1H OCEAN
-118.09,33.74,0-2000,NEAR OCEAN
-118.93,36.19,0-2000,INLAND
-117.22,32.75,0-2000,NEAR OCEAN
-122.04,37.62,0-2000,NEAR BAY
-117.22,34.07,0-2000,INLAND
-117.13,34.24,0-2000,INLAND
-117.13,32.7,0-2000,NEAR OCEAN
-122.44,37.77,0-2000,NEAR BAY
-118.24,33.96,0-2000,<1H OCEAN
-119.08,35.32,4000-6000,INLAND
-119.29,34.28,0-2000,NEAR OCEAN
-118.26,34.01,0-2000,<1H OCEAN
-122.14,37.44,0-2000,NEAR BAY
-117.13,32.58,0-2000,NEAR OCEAN
-119.67,36.33,0-2000,INLAND
-122.43,37.81,0-2000,NEAR BAY
-121.39,38.63,0-2000,INLAND
-118.36,33.86,0-2000,<1H OCEAN
-118.33,33.92,0-2000,<1H OCEAN
-118.79,34.14,0-2000,NEAR OCEAN
-117.82,34.13,0-2000,INLAND
-114.57,33.57,0-2000,INLAND
-118.08,34.13,0-2000,INLAND
-117.72,34.1,0-2000,INLAND
-118.25,33.91,0-2000,<1H OCEAN
-121.71,38.56,4000-6000,INLAND
-122.02,38.02,0-2000,NEAR BAY
-122.08,37.39,0-2000,NEAR BAY
-117.16,32.74,0-2000,NEAR OCEAN
-118.37,34.24,0-2000,<1H OCEAN
-118.31,34,0-2000,<1H OCEAN
-120.48,37.29,2000-4000,INLAND
-122.54,37.99,0-2000,NEAR BAY
-117.11,32.79,0-2000,NEAR OCEAN
-118.34,34.04,2000-4000,<1H OCEAN
-120.44,34.93,0-2000,<1H OCEAN
-118.54,34.23,0-2000,<1H OCEAN
-117.05,32.76,2000-4000,NEAR OCEAN
-122.04,36.97,0-2000,NEAR OCEAN
-122.53,38.01,0-2000,NEAR BAY
-118.39,34.16,0-2000,<1H OCEAN
-118.2,34.12,0-2000,<1H OCEAN
-122.43,37.64,0-2000,NEAR OCEAN
-116.88,34.08,0-2000,INLAND
-122.09,37.41,0-2000,NEAR BAY
-121.9,37.3,0-2000,<1H OCEAN
-122.78,38.44,0-2000,<1H OCEAN
-122.31,38.34,0-2000,NEAR BAY
-117.74,34.02,0-2000,INLAND
-122.01,37.93,0-2000,NEAR BAY
-118.85,34.21,0-2000,<1H OCEAN
-122.37,38.33,0-2000,NEAR BAY
-118.11,34.07,2000-4000,<1H OCEAN
-121.28,38.7,2000-4000,INLAND
-118.1,34.08,0-2000,<1H OCEAN
-120.07,36.96,0-2000,INLAND
-118.37,33.95,0-2000,<1H OCEAN
-122.42,37.8,0-2000,NEAR BAY
-118.7,34.3,0-2000,<1H OCEAN
-117.12,32.57,0-2000,NEAR OCEAN
-122.42,37.8,2000-4000,NEAR BAY
-119.25,35.78,0-2000,INLAND
-122.66,39.02,0-2000,INLAND
-118.45,33.99,0-2000,<1H OCEAN
-117.61,34.08,2000-4000,INLAND
-117.96,33.93,0-2000,<1H OCEAN
-115.73,32.8,0-2000,INLAND
-118.12,34.1,0-2000,<1H OCEAN
-117.96,33.65,0-2000,<1H OCEAN
-118.57,34.2,0-2000,<1H OCEAN
-119.02,35.41,0-2000,INLAND
-119.06,35.33,2000-4000,INLAND
-122.44,37.77,0-2000,NEAR BAY
-117.15,32.91,0-2000,<1H OCEAN
-118.44,34.29,0-2000,<1H OCEAN
-119.8,36.02,0-2000,INLAND
-119.77,36.78,0-2000,INLAND
-118.28,33.97,2000-4000,<1H OCEAN
-118.4,34.05,0-2000,<1H OCEAN
-122.07,37.57,4000-6000,NEAR BAY
-121.56,39.08,0-2000,INLAND
-121.98,37.54,2000-4000,<1H OCEAN
-122.29,38.3,0-2000,NEAR BAY
-118.15,33.9,0-2000,<1H OCEAN
-122.04,37.34,0-2000,<1H OCEAN
-118.49,34.27,2000-4000,<1H OCEAN
-117.12,32.74,0-2000,NEAR OCEAN
-118.95,35.38,0-2000,INLAND
-122.08,37.4,0-2000,NEAR BAY
-118.26,33.88,0-2000,<1H OCEAN
-119.76,36.79,0-2000,INLAND
-118.25,33.98,2000-4000,<1H OCEAN
-118.98,35.38,0-2000,INLAND
-118.92,35.13,0-2000,INLAND
-118.21,33.8,0-2000,NEAR OCEAN
-118.27,34.15,2000-4000,<1H OCEAN
-119.96,35.99,0-2000,INLAND
-118,34.15,0-2000,INLAND
-122.46,37.71,0-2000,NEAR OCEAN
-121.32,38.67,0-2000,INLAND
-118.07,33.96,0-2000,<1H OCEAN
-117,32.77,0-2000,<1H OCEAN
-121.99,37.54,0-2000,<1H OCEAN
-121.19,38.04,0-2000,INLAND
-118.56,34.21,4000-6000,<1H OCEAN
-116.92,32.82,0-2000,<1H OCEAN
-122.2,37.78,0-2000,NEAR BAY
-122.41,37.71,2000-4000,NEAR BAY
-122.07,37.64,4000-6000,NEAR BAY
-118.23,33.95,2000-4000,<1H OCEAN
-118.01,33.76,0-2000,<1H OCEAN
-118.37,33.99,0-2000,<1H OCEAN
-118.27,33.95,0-2000,<1H OCEAN
-121.33,38.65,0-2000,INLAND
-122.18,37.76,0-2000,NEAR BAY
-121.97,37.28,0-2000,<1H OCEAN
-117.5,34,0-2000,INLAND
-124.1,40.9,0-2000,NEAR OCEAN
-116.43,33.81,2000-4000,INLAND
-120.76,38.47,0-2000,INLAND
-118.41,34.17,0-2000,<1H OCEAN
-122.83,38.4,0-2000,<1H OCEAN
-118.46,34.4,10000-12000,<1H OCEAN
-122.19,37.71,0-2000,NEAR BAY
-119.91,37.23,0-2000,INLAND
-121.92,37.3,0-2000,<1H OCEAN
-117.26,32.95,0-2000,NEAR OCEAN
-119.01,35.37,0-2000,INLAND
-117.67,33.49,0-2000,<1H OCEAN
-117.81,35.65,0-2000,INLAND
-118.42,33.98,0-2000,<1H OCEAN
-122.4,37.76,0-2000,NEAR BAY
-119.84,36.81,0-2000,INLAND
-121.43,37.75,0-2000,INLAND
-118.22,34.09,0-2000,<1H OCEAN
-117.04,32.55,2000-4000,NEAR OCEAN
-117.14,33.15,0-2000,<1H OCEAN
-117.94,34.04,0-2000,<1H OCEAN
-117.93,34.57,2000-4000,INLAND
-118.37,34.16,0-2000,<1H OCEAN
-117.1,34.21,0-2000,INLAND
-122.42,40.44,0-2000,INLAND
-121.47,38.54,0-2000,INLAND
-118.14,34.08,0-2000,<1H OCEAN
-118.39,34.23,2000-4000,<1H OCEAN
-121.41,38.69,0-2000,INLAND
-123.8,39.44,0-2000,<1H OCEAN
-117.71,33.54,0-2000,<1H OCEAN
-121.5,38.56,0-2000,INLAND
-117.24,32.75,0-2000,NEAR OCEAN
-118.26,33.82,4000-6000,<1H OCEAN
-117.95,33.71,2000-4000,<1H OCEAN
-117.24,32.75,0-2000,NEAR OCEAN
-121.35,38.04,2000-4000,INLAND
-117.57,33.88,0-2000,INLAND
-117.24,32.94,0-2000,NEAR OCEAN
-121.63,39.12,0-2000,INLAND
-117.9,33.8,0-2000,<1H OCEAN
-122.01,38.26,2000-4000,INLAND
-118.44,34.17,0-2000,<1H OCEAN
-117.92,33.9,0-2000,<1H OCEAN
-122.64,38.01,0-2000,NEAR OCEAN
-119.97,36.44,0-2000,INLAND
-117.95,33.79,0-2000,<1H OCEAN
-118.05,33.84,2000-4000,<1H OCEAN
-121.26,37.95,0-2000,INLAND
-118.96,37.64,0-2000,INLAND
-121.64,39.11,0-2000,INLAND
-117.12,32.76,0-2000,NEAR OCEAN
-116.92,32.86,0-2000,<1H OCEAN
-118.83,34.33,2000-4000,<1H OCEAN
-122.39,37.78,0-2000,NEAR BAY
-117.25,32.73,0-2000,NEAR OCEAN
-120.84,35.3,0-2000,NEAR OCEAN
-117.98,33.7,0-2000,<1H OCEAN
-122.24,37.77,0-2000,NEAR BAY
-121.36,38.66,0-2000,INLAND
-122.5,37.92,0-2000,NEAR BAY
-120.84,37.48,0-2000,INLAND
-118.31,33.88,0-2000,<1H OCEAN
-118.09,34.68,10000-12000,INLAND
-119.23,35.77,0-2000,INLAND
-118.32,34.19,0-2000,<1H OCEAN
-118.52,34.22,0-2000,<1H OCEAN
-118.3,34.1,4000-6000,<1H OCEAN
-121.25,36.32,4000-6000,<1H OCEAN
-118.15,33.94,0-2000,<1H OCEAN
-117.43,34.01,0-2000,INLAND
-122.56,37.9,0-2000,NEAR BAY
-120.84,37.51,0-2000,INLAND
-118.28,34.06,0-2000,<1H OCEAN
-119.17,34.15,2000-4000,NEAR OCEAN
-122.04,37.35,0-2000,<1H OCEAN
-122.28,37.87,0-2000,NEAR BAY
-118.06,33.91,4000-6000,<1H OCEAN
-118.47,34.15,0-2000,<1H OCEAN
-118.48,34.04,0-2000,<1H OCEAN
-117.08,32.76,0-2000,NEAR OCEAN
-118.71,34.3,0-2000,<1H OCEAN
-118.2,34.04,0-2000,<1H OCEAN
-122.04,37.88,0-2000,NEAR BAY
-117.76,33.83,0-2000,<1H OCEAN
-117.11,33.74,0-2000,INLAND
-122.22,37.84,0-2000,NEAR BAY
-115.37,32.82,0-2000,INLAND
-118.11,34.16,0-2000,INLAND
-116.76,34.23,0-2000,INLAND
-122.12,37.42,0-2000,NEAR BAY
-117.23,32.78,0-2000,NEAR OCEAN
-118.44,34.19,2000-4000,<1H OCEAN
-120.9,37.64,0-2000,INLAND
-117.27,34.05,0-2000,INLAND
-120.85,37.06,0-2000,INLAND
-116.99,32.7,2000-4000,NEAR OCEAN
-121.6,39.15,0-2000,INLAND
-117.32,34.55,0-2000,INLAND
-121.47,38.49,2000-4000,INLAND
-118.45,34.23,4000-6000,<1H OCEAN
-118.08,34.12,0-2000,<1H OCEAN
-117.96,33.94,0-2000,<1H OCEAN
-118.14,34.06,2000-4000,<1H OCEAN
-118.88,34.17,0-2000,<1H OCEAN
-117.23,33.77,0-2000,INLAND
-117.88,33.85,2000-4000,<1H OCEAN
-121.3,38.03,0-2000,INLAND
-117.9,33.99,4000-6000,<1H OCEAN
-117.24,32.74,0-2000,NEAR OCEAN
-124.18,40.78,0-2000,NEAR OCEAN
-118.1,33.91,0-2000,<1H OCEAN
-122.06,37.77,4000-6000,NEAR BAY
-121.68,39.15,0-2000,INLAND
-117.14,32.7,0-2000,NEAR OCEAN
-117.02,32.76,0-2000,<1H OCEAN
-117.86,33.62,0-2000,<1H OCEAN
-117.13,32.79,0-2000,NEAR OCEAN
-118.2,34.04,0-2000,<1H OCEAN
-120.57,38.2,0-2000,INLAND
-118.17,33.96,2000-4000,<1H OCEAN
-117.74,33.46,0-2000,<1H OCEAN
-117.18,34.54,2000-4000,INLAND
-118.42,34.18,0-2000,<1H OCEAN
-119.69,34.38,0-2000,NEAR OCEAN
-117.27,33.03,0-2000,NEAR OCEAN
-118.41,34.25,0-2000,<1H OCEAN
-118.66,34.02,2000-4000,NEAR OCEAN
-122.15,37.74,0-2000,NEAR BAY
-120.85,37.49,2000-4000,INLAND
-118.29,34.17,0-2000,<1H OCEAN
-122.7,38.43,0-2000,<1H OCEAN
-117.76,33.86,0-2000,<1H OCEAN
-122.58,38.15,0-2000,<1H OCEAN
-118.32,34.04,2000-4000,<1H OCEAN
-120.46,36.87,0-2000,INLAND
-117.92,33.7,0-2000,<1H OCEAN
-121.59,39.39,0-2000,INLAND
-117.94,34.02,2000-4000,<1H OCEAN
-120.45,34.94,0-2000,<1H OCEAN
-117.12,32.76,0-2000,NEAR OCEAN
-117.34,34,0-2000,INLAND
-118.05,34.1,0-2000,INLAND
-118.19,33.82,0-2000,NEAR OCEAN
-117.38,34.06,0-2000,INLAND
-121.27,37.97,0-2000,INLAND
-122.18,39.75,0-2000,INLAND
-118.49,34.03,0-2000,<1H OCEAN
-117.68,33.54,0-2000,<1H OCEAN
-122.92,39.05,0-2000,INLAND
-120,38.92,0-2000,INLAND
-121.2,37.79,0-2000,INLAND
-117.3,34.11,0-2000,INLAND
-118.38,33.86,0-2000,<1H OCEAN
-117.01,33.75,0-2000,INLAND
-118.04,33.99,0-2000,<1H OCEAN
-121.25,38.69,0-2000,INLAND
-122.09,37.65,0-2000,NEAR BAY
-121.26,37.96,0-2000,INLAND
-117.35,33.97,2000-4000,INLAND
-118.2,33.91,0-2000,<1H OCEAN
-118.46,34.02,0-2000,<1H OCEAN
-118.32,33.94,0-2000,<1H OCEAN
-118.25,33.8,0-2000,<1H OCEAN
-119.75,36.75,0-2000,INLAND
-122.24,38.14,4000-6000,NEAR BAY
-119.05,36.07,0-2000,INLAND
-120.82,37.49,0-2000,INLAND
-121.96,37.06,0-2000,NEAR OCEAN
-122.13,37.45,0-2000,NEAR BAY
-118.05,33.82,0-2000,<1H OCEAN
-122.03,38.25,0-2000,INLAND
-121.94,37.33,0-2000,<1H OCEAN
-118,33.73,0-2000,<1H OCEAN
-118.32,33.89,0-2000,<1H OCEAN
-122.05,37.95,2000-4000,NEAR BAY
-118.23,34.16,0-2000,<1H OCEAN
-121.46,38.61,0-2000,INLAND
-117.14,32.71,0-2000,NEAR OCEAN
-122.46,37.71,0-2000,NEAR OCEAN
-121.49,38.53,0-2000,INLAND
-118.49,34.22,0-2000,<1H OCEAN
-122.03,37.69,0-2000,NEAR BAY
-117.62,33.77,0-2000,<1H OCEAN
-118.07,34.12,0-2000,INLAND
-118.1,33.96,0-2000,<1H OCEAN
-118.36,34.03,0-2000,<1H OCEAN
-117.27,34.17,0-2000,INLAND
-121.62,36.63,0-2000,<1H OCEAN
-118.53,34.26,0-2000,<1H OCEAN
-118.52,34.04,0-2000,<1H OCEAN
-122.4,37.73,0-2000,NEAR BAY
-117.84,33.66,0-2000,<1H OCEAN
-122,37.96,2000-4000,INLAND
-118.29,33.96,0-2000,<1H OCEAN
-121.53,39.53,0-2000,INLAND
-121.99,37.34,0-2000,<1H OCEAN
-122.23,40.2,0-2000,INLAND
-117.25,32.73,0-2000,NEAR OCEAN
-118.38,33.81,0-2000,NEAR OCEAN
-122,37.28,0-2000,<1H OCEAN
-118.19,33.79,2000-4000,NEAR OCEAN
-118.26,33.94,0-2000,<1H OCEAN
-117.64,33.88,2000-4000,<1H OCEAN
-122.41,37.61,0-2000,NEAR OCEAN
-117.87,33.87,0-2000,<1H OCEAN
-116.47,33.84,2000-4000,INLAND
-118.47,34.19,0-2000,<1H OCEAN
